ContractID,TaskID
7007,2
7007,6
7007,11
7007,12
7007,14
7007,24
7007,29
7007,34
7007,35
7007,39
7007,44
7007,45
7007,48
7007,51
7007,54
7007,62
7007,63
7007,64
7007,65
7007,67
7007,69
7007,72
7007,74
7007,87
7007,90
7007,93
7016,5
7016,7
7016,21
7016,23
7016,25
7016,26
7016,37
7016,52
7016,59
7016,60
7016,75
7016,76
7016,77
7016,79
7016,83
7016,86
7016,88
7016,92
7016,99
7016,100
7035,3
7035,4
7035,16
7035,20
7035,27
7035,30
7035,32
7035,42
7035,47
7035,53
7035,55
7035,57
7035,68
7035,70
7035,71
7035,80
7035,81
7035,84
7035,89
7035,96
7048,1
7048,8
7048,10
7048,31
7048,33
7048,36
7048,38
7048,41
7048,49
7048,50
7048,56
7048,61
7048,66
7048,91
7048,95
7140,9
7140,13
7140,15
7140,17
7140,18
7140,19
7140,22
7140,28
7140,40
7140,43
7140,46
7140,58
7140,73
7140,78
7140,82
7140,85
7140,94
7140,97
7140,98
